1 2 
1 3 
1 4 
1 18 
2 1 3 
2 1 4 
2 1 18 
3 1 4 
3 1 18 
4 1 18 
4 5 
4 6 
4 7 
1 4 5 
1 4 6 
1 4 7 
5 4 6 
5 4 7 
6 4 7 
7 8 
7 12 
4 7 8 
4 7 12 
8 7 12 
8 9 
8 10 
8 11 
7 8 9 
7 8 10 
7 8 11 
9 8 10 
9 8 11 
10 8 11 
12 13 
12 14 
12 15 
7 12 13 
7 12 14 
7 12 15 
13 12 14 
13 12 15 
14 12 15 
15 16 
15 17 
15 18 
12 15 16 
12 15 17 
12 15 18 
16 15 17 
16 15 18 
17 15 18 
18 19 
1 18 15 
1 18 19 
15 18 19 
19 20 
19 21 
19 22 
18 19 20 
18 19 21 
18 19 22 
20 19 21 
20 19 22 
21 19 22 
22 23 
22 27 
19 22 23 
19 22 27 
23 22 27 
23 24 
23 25 
22 23 24 
22 23 25 
24 23 25 
25 26 
25 31 
23 25 26 
23 25 31 
26 25 31 
27 28 
27 29 
22 27 28 
22 27 29 
28 27 29 
29 30 
29 31 
27 29 30 
27 29 31 
30 29 31 
31 32 
25 31 29 
25 31 32 
29 31 32 
32 33 
32 34 
31 32 33 
31 32 34 
33 32 34 
34 35 
34 36 
32 34 35 
32 34 36 
35 34 36 
36 37 
36 39 
34 36 37 
34 36 39 
37 36 39 
37 38 
37 48 
36 37 38 
36 37 48 
38 37 48 
39 40 
39 41 
36 39 40 
36 39 41 
40 39 41 
41 42 
41 43 
39 41 42 
39 41 43 
42 41 43 
43 44 
43 48 
41 43 44 
41 43 48 
44 43 48 
44 45 
44 46 
44 47 
43 44 45 
43 44 46 
43 44 47 
45 44 46 
45 44 47 
46 44 47 
48 49 
37 48 43 
37 48 49 
43 48 49 
49 50 
49 51 
48 49 50 
48 49 51 
50 49 51 
51 52 
51 53 
49 51 52 
49 51 53 
52 51 53 
52 58 
51 52 58 
53 54 
51 53 54 
54 55 
54 56 
53 54 55 
53 54 56 
55 54 56 
56 57 
56 58 
54 56 57 
54 56 58 
57 56 58 
58 59 
52 58 56 
52 58 59 
56 58 59 
59 60 
59 67 
58 59 60 
58 59 67 
60 59 67 
60 61 
60 62 
59 60 61 
59 60 62 
61 60 62 
62 63 
62 64 
60 62 63 
60 62 64 
63 62 64 
64 65 
64 66 
62 64 65 
62 64 66 
65 64 66 
66 67 
64 66 67 
67 68 
59 67 66 
59 67 68 
66 67 68 
